# Catálogo — 2026-04-07 21:09:26
1010;To Kill a Mockingbird;Harper Lee;1960;Literatura;0
1011;El Principito;Antoine de Saint-Exupéry;1943;Literatura;1
1012;1984;George Orwell;1949;Distopía;0
1013;Cien Años de Soledad;Gabriel García Márquez;1967;Literatura;1
1014;Matar a un Ruiseñor;Harper Lee;1960;Literatura;0
1015;Orgullo y Prejuicio;Jane Austen;1813;Romance;1
1016;El Gran Gatsby;F. Scott Fitzgerald;1925;Literatura;0
1017;Crimen y Castigo;Fiódor Dostoyevski;1866;Filosofía;1
1018;El Hobbit;J.R.R. Tolkien;1937;Fantasía;1
1019;La Odisea;Homero;-800;Épica;0
1020;Don Quijote de la Mancha;Miguel de Cervantes;1605;Literatura;0
1021;Hamlet;William Shakespeare;1603;Drama;1
1022;El Señor de los Anillos;J.R.R. Tolkien;1954;Fantasía;0
1023;Anna Karenina;Lev Tolstói;1877;Romance;1
1025;Frankenstein;Mary Shelley;1818;Terror;0
1026;El Diario de Ana Frank;Ana Frank;1947;Historia;1
1027;Alicia en el País de las Maravillas;Lewis Carroll;1865;Fantasía;0
1028;La Metamorfosis;Franz Kafka;1915;Literatura;1
1029;Moby Dick;Herman Melville;1851;Aventura;0
1030;Jane Eyre;Charlotte Brontë;1847;Romance;1
1031;Los Miserables;Victor Hugo;1862;Literatura;0
1032;El Código Da Vinci;Dan Brown;2003;Misterio;1
1033;El Alquimista;Paulo Coelho;1988;Filosofía;1
1034;Harry Potter y la Piedra Filosofal;J.K. Rowling;1997;Fantasía;0
1035;Harry Potter y la Cámara Secreta;J.K. Rowling;1998;Fantasía;1
1036;Harry Potter y el Prisionero de Azkaban;J.K. Rowling;1999;Fantasía;0
1037;Harry Potter y el Cáliz de Fuego;J.K. Rowling;2000;Fantasía;1
1038;Harry Potter y la Orden del Fénix;J.K. Rowling;2003;Fantasía;0
1039;Harry Potter y el Misterio del Príncipe;J.K. Rowling;2005;Fantasía;1
1040;Harry Potter y las Reliquias de la Muerte;J.K. Rowling;2007;Fantasía;0
1041;El Principito Moderno;Antoine de Saint-Exupéry;1943;Literatura;1
1042;El Perfume;Patrick Süskind;1985;Misterio;1
1043;It;Stephen King;1986;Terror;0
1044;Carrie;Stephen King;1974;Terror;1
1045;El Viejo y el Mar;Ernest Hemingway;1952;Literatura;0
1046;La Iliada;Homero;-750;Épica;1
1047;Cumbres Borrascosas;Emily Brontë;1847;Romance;0
1048;El Nombre de la Rosa;Umberto Eco;1980;Misterio;1
